"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5891","Validate error for mobile: 00000","chromium","Thu Oct 16 19:31:05 IST 2025","passed","Thu Oct 16 19:31:11 IST 2025","Login validation with invalid mobile numbers","login.spec.ts","",""
"","21226","Submit comment and test invalid login for Jane Smith","webkit","Thu Oct 16 19:33:22 IST 2025","passed","Thu Oct 16 19:33:44 IST 2025","","explore.spec.ts","",""
"","6932","Validate error for mobile: 999","chromium","Thu Oct 16 19:31:04 IST 2025","passed","Thu Oct 16 19:31:11 IST 2025","Login validation with invalid mobile numbers","login.spec.ts","",""
"","25121","Validate error for mobile: 999","webkit","Thu Oct 16 19:32:26 IST 2025","passed","Thu Oct 16 19:32:51 IST 2025","Login validation with invalid mobile numbers","login.spec.ts","",""
"","5709","Validate error for mobile: 123456","chromium","Thu Oct 16 19:31:05 IST 2025","passed","Thu Oct 16 19:31:11 IST 2025","Login validation with invalid mobile numbers","login.spec.ts","",""
"","25879","Verify PDF view for Research Officer (Pathology)","webkit","Thu Oct 16 19:33:23 IST 2025","passed","Thu Oct 16 19:33:49 IST 2025","","jobs.spec.ts","",""
"","3817","Count service categories on homepage","chromium","Thu Oct 16 19:31:11 IST 2025","passed","Thu Oct 16 19:31:15 IST 2025","","services.spec.ts","",""
"","24501","Validate Bulk Courier Services results","webkit","Thu Oct 16 19:31:22 IST 2025","passed","Thu Oct 16 19:31:47 IST 2025","","courier.spec.ts","",""
"","11744","Submit comment and test invalid login for Priya Sharma","chromium","Thu Oct 16 19:30:52 IST 2025","passed","Thu Oct 16 19:31:04 IST 2025","","explore.spec.ts","",""
"","29484","Retrieve Car Washing services in Mumbai","webkit","Thu Oct 16 19:31:22 IST 2025","passed","Thu Oct 16 19:31:51 IST 2025","","carwash.spec.ts","",""
"","37568","Submit comment and test invalid login for John Doe","webkit","Thu Oct 16 19:31:33 IST 2025","passed","Thu Oct 16 19:32:11 IST 2025","","explore.spec.ts","",""
"","7782","Validate Bulk Courier Services results","chromium","Thu Oct 16 19:30:28 IST 2025","passed","Thu Oct 16 19:30:35 IST 2025","","courier.spec.ts","",""
"","11488","Submit comment and test invalid login for Amit Verma","chromium","Thu Oct 16 19:30:52 IST 2025","passed","Thu Oct 16 19:31:04 IST 2025","","explore.spec.ts","",""
"","14031","Count service categories on homepage","webkit","Thu Oct 16 19:33:03 IST 2025","passed","Thu Oct 16 19:33:17 IST 2025","","services.spec.ts","",""
"","10045","Validate error for mobile: 123","chromium","Thu Oct 16 19:30:53 IST 2025","passed","Thu Oct 16 19:31:03 IST 2025","Login validation with invalid mobile numbers","login.spec.ts","",""
"","19694","Retrieve Car Washing services in Chennai","chromium","Thu Oct 16 19:30:30 IST 2025","passed","Thu Oct 16 19:30:49 IST 2025","","carwash.spec.ts","",""
"","21265","Validate error for mobile: 00000","webkit","Thu Oct 16 19:32:56 IST 2025","passed","Thu Oct 16 19:33:17 IST 2025","Login validation with invalid mobile numbers","login.spec.ts","",""
"","14636","Retrieve Gym submenu items from Fitness section","chromium","Thu Oct 16 19:30:53 IST 2025","passed","Thu Oct 16 19:31:07 IST 2025","","gym.spec.ts","",""
"","31441","Submit comment and test invalid login for Amit Verma","webkit","Thu Oct 16 19:31:54 IST 2025","passed","Thu Oct 16 19:32:25 IST 2025","","explore.spec.ts","",""
"","10382","Validate Tours and Travels submenu items","chromium","Thu Oct 16 19:31:12 IST 2025","passed","Thu Oct 16 19:31:22 IST 2025","","tours.spec.ts","",""
"","26175","Retrieve Gym submenu items from Fitness section","webkit","Thu Oct 16 19:31:55 IST 2025","passed","Thu Oct 16 19:32:21 IST 2025","","gym.spec.ts","",""
"","19174","Submit comment and test invalid login for John Doe","chromium","Thu Oct 16 19:30:30 IST 2025","passed","Thu Oct 16 19:30:49 IST 2025","","explore.spec.ts","",""
"","30170","Validate error for mobile: abc","chromium","Thu Oct 16 19:30:54 IST 2025","passed","Thu Oct 16 19:31:24 IST 2025","Login validation with invalid mobile numbers","login.spec.ts","",""
"","21737","Verify PDF view for Research Officer (Pathology)","chromium","Thu Oct 16 19:30:53 IST 2025","passed","Thu Oct 16 19:31:14 IST 2025","","jobs.spec.ts","",""
"","20753","Retrieve Car Washing services in Mumbai","chromium","Thu Oct 16 19:30:30 IST 2025","passed","Thu Oct 16 19:30:51 IST 2025","","carwash.spec.ts","",""
"","18797","Submit comment and test invalid login for Jane Smith","chromium","Thu Oct 16 19:30:31 IST 2025","passed","Thu Oct 16 19:30:49 IST 2025","","explore.spec.ts","",""
"","25993","Validate error for mobile: abc","webkit","Thu Oct 16 19:32:26 IST 2025","passed","Thu Oct 16 19:32:52 IST 2025","Login validation with invalid mobile numbers","login.spec.ts","",""
"","23551","Submit comment and test invalid login for Priya Sharma","webkit","Thu Oct 16 19:33:20 IST 2025","passed","Thu Oct 16 19:33:43 IST 2025","","explore.spec.ts","",""
"","31076","Submit comment and test invalid login for Ravi Kumar","webkit","Thu Oct 16 19:31:53 IST 2025","passed","Thu Oct 16 19:32:24 IST 2025","","explore.spec.ts","",""
"","27451","Retrieve Car Washing services in Chennai","webkit","Thu Oct 16 19:31:22 IST 2025","passed","Thu Oct 16 19:31:50 IST 2025","","carwash.spec.ts","",""
"","22140","Validate error for mobile: 123456","webkit","Thu Oct 16 19:32:54 IST 2025","passed","Thu Oct 16 19:33:16 IST 2025","Login validation with invalid mobile numbers","login.spec.ts","",""
"","26189","Validate error for mobile: 123","webkit","Thu Oct 16 19:32:26 IST 2025","passed","Thu Oct 16 19:32:52 IST 2025","Login validation with invalid mobile numbers","login.spec.ts","",""
"","28829","Verify advertisement manual downloads (PDF & PPT)","webkit","Thu Oct 16 19:31:21 IST 2025","passed","Thu Oct 16 19:31:50 IST 2025","","advertise.spec.ts","",""
"","14996","Submit comment and test invalid login for Ravi Kumar","chromium","Thu Oct 16 19:30:37 IST 2025","passed","Thu Oct 16 19:30:52 IST 2025","","explore.spec.ts","",""
"","22575","Verify advertisement manual downloads (PDF & PPT)","chromium","Thu Oct 16 19:30:30 IST 2025","passed","Thu Oct 16 19:30:52 IST 2025","","advertise.spec.ts","",""
"","13668","Validate Tours and Travels submenu items","webkit","Thu Oct 16 19:33:18 IST 2025","passed","Thu Oct 16 19:33:32 IST 2025","","tours.spec.ts","",""
